name,ID,STIX ID,description,collection layers,platforms,created,modified,type,version,url,contributors
Command: Command Execution,,x-mitre-data-component--685f917a-e95e-4ba0-ade1-c7d354dae6e0,"Command Execution involves monitoring and capturing the execution of textual commands (including shell commands, cmdlets, and scripts) within an operating system or application. These commands may include arguments or parameters and are typically executed through interpreters such as `cmd.exe`, `bash`, `zsh`, `PowerShell`, or programmatic execution. Examples: 

- Windows Command Prompt
    - dir – Lists directory contents.
    - net user – Queries or manipulates user accounts.
    - tasklist – Lists running processes.
- PowerShell
    - Get-Process – Retrieves processes running on a system.
    - Set-ExecutionPolicy – Changes PowerShell script execution policies.
    - Invoke-WebRequest – Downloads remote resources.
- Linux Shell
    - ls – Lists files in a directory.
    - cat /etc/passwd – Reads the user accounts file.
    - curl http://malicious-site.com – Retrieves content from a malicious URL.
- Container Environments
    - docker exec – Executes a command inside a running container.
    - kubectl exec – Runs commands in Kubernetes pods.
- macOS Terminal
    - open – Opens files or URLs.
    - dscl . -list /Users – Lists all users on the system.
    - osascript -e – Executes AppleScript commands.

This data component can be collected through the following measures:

Enable Command Logging

- Windows:
    - Enable PowerShell logging: `Set-ExecutionPolicy Bypass`, `Set-ItemProperty -Path ""HKLM:\SOFTWARE\Policies\Microsoft\Windows\PowerShell\ScriptBlockLogging"" -Name EnableScriptBlockLogging -Value 1`
    - Enable Windows Event Logging:
        - Event ID 4688: Tracks process creation, including command-line arguments.
        - Event ID 4104: Logs PowerShell script block execution.
- Linux/macOS:
    - Enable shell history logging in `.bashrc` or `.zshrc`: `export HISTTIMEFORMAT=""%d/%m/%y %T ""`, `export PROMPT_COMMAND='history -a; history -w'`
    - Use audit frameworks (e.g., `auditd`) to log command executions. Example rule to log all `execve` syscalls: `-a always,exit -F arch=b64 -S execve -k cmd_exec`
- Containers:
    - Use runtime-specific tools like Docker’s --log-driver or Kubernetes Audit Logs to capture exec commands.

Integrate with Centralized Logging

- Collect logs using a SIEM (e.g., Splunk) or cloud-based log aggregation tools like AWS CloudWatch or Azure Monitor. Example Splunk Search for Windows Event 4688:
`index=windows EventID=4688 CommandLine=*`

Use Endpoint Detection and Response (EDR) Tools

- Monitor command executions via EDR solutions 

Deploy Sysmon for Advanced Logging (Windows)

- Use Sysmon's Event ID 1 to log process creation with command-line arguments",,,20 October 2021,,datacomponent,1.2,,
Container,DS0032,x-mitre-data-source--072ec5a7-00ba-466f-9057-69751a22a967,A standard unit of virtualized software that packages up code and all its dependencies so the application runs quickly and reliably from one computing environment to another(Citation: Docker Docs Container),Container,Containers,20 October 2021,,datasource,1.0,https://attack.mitre.org/datasources/DS0032,Center for Threat-Informed Defense (CTID)
Container: Container Creation,,x-mitre-data-component--a5ae90ca-0c4b-481c-959f-0eb18a7ff953,"""Container Creation"" data component captures details about the initial construction of a container in a containerized environment. This includes events where a new container is instantiated, such as through Docker, Kubernetes, or other container orchestration platforms. Monitoring these events helps detect unauthorized or potentially malicious container creation. Examples:

- Docker Example: `docker create my-container`, `docker run --name=my-container nginx:latest`
- Kubernetes Example: `kubectl run my-pod --image=nginx`, `kubectl create deployment my-deployment --image=nginx`
- Cloud Container Services Example
    - AWS ECS: Task or service creation (`RunTask` or `CreateService`).
    - Azure Container Instances: Deployment of a container group.
    - Google Kubernetes Engine (GKE): Creation of new pods via GCP APIs.

This data component can be collected through the following measures:

- Docker Audit Logging: Enable Docker daemon logging to capture `create` commands. Configure the Docker daemon to use a log driver such as `syslog` or `json-file`.
- Kubernetes Audit Logs: Enable Kubernetes API server audit logging:
- Cloud Provider Logs
    - AWS CloudTrail: Enable logging for ECS `RunTask` or `CreateService` events.
    - Azure Monitor: Enable activity logging for container group creation.
    - GCP Cloud Logging: Monitor API calls such as `container.projects.zones.clusters.create`.
- SIEM Integration: Use a SIEM to collect logs from Docker, Kubernetes, or cloud platforms.",,,20 October 2021,,datacomponent,1.1,,
Container: Container Enumeration,,x-mitre-data-component--91b3ed33-d1b5-4c4b-a896-76c55eb3cfd8,"""Container Enumeration"" data component captures events and actions related to listing and identifying active or available containers within a containerized environment. This includes information about running, stopped, or configured containers, such as their names, IDs, statuses, or associated images. Monitoring this activity is crucial for detecting unauthorized discovery or reconnaissance efforts. Examples: 

- Docker Example: `docker ps`, `docker ps -a`
- Kubernetes Example: `kubectl get pods`, `kubectl get deployments`
- Cloud Container Services Example
    - AWS ECS: API Call: ListTasks or ListContainers
    - Azure Kubernetes Service: API Call: List pod or container instances.
    - Google Kubernetes Engine (GKE): API Call: Retrieve deployments and their associated containers.

This data component can be collected through the following measures:

- Docker Audit Logging: Enable Docker daemon logging to capture enumeration commands. Use tools like auditd to monitor terminal activity involving docker ps or similar commands.
- Kubernetes Audit Logs: Enable Kubernetes API server audit logging. Capture events where users query resources such as pods, deployments, or services.
- Cloud Provider Logs
    - AWS CloudTrail: Enable logging for API calls like ListTasks or DescribeTasks.
    - Azure Monitor: Enable activity logging to track container-related queries.
    - GCP Cloud Logging: Track API events involving container enumerations or deployments.
- SIEM Integration: Collect logs from Docker, Kubernetes, and cloud services for centralized analysis.",,,20 October 2021,,datacomponent,1.1,,
Container: Container Start,,x-mitre-data-component--5fe82895-28e5-4aac-845e-dc886b63be2e,"""Container Start"" data component captures events related to the activation or invocation of a container within a containerized environment. This includes starting a previously stopped container, restarting an existing container, or initializing a container for runtime. Monitoring these activities is critical for identifying unauthorized or unexpected container activations, which may indicate potential adversarial activity or misconfigurations. Examples: 

- Docker Example: `docker start <container_name>`, `docker restart <container_name>`
- Kubernetes Example: Kubernetes automatically restarts containers as part of pod lifecycle management (e.g., due to health checks or configuration changes).
- Cloud-Native Example
    - AWS ECS: API Call: StartTask to activate a stopped ECS task.
    - Azure Container Instances: Command to restart a container group instance.
    - GCP Kubernetes Engine: Automatic restarts as part of node or pod management.

This data component can be collected through the following measures:

- Docker Audit Logging: Enable Docker logging to capture start and restart events. Use tools like auditd to monitor terminal activity involving container lifecycle commands.
- Kubernetes Audit Logs: Enable Kubernetes API server audit logging.
- Cloud Provider Logs
    - AWS CloudTrail: Capture StartTask or related API calls for ECS.
    - Azure Monitor: Track activity in container groups that indicate start or restart events.
    - GCP Cloud Logging: Record logs related to pod restarts or scaling events in Kubernetes Engine.
- SIEM Integration: Collect logs from Docker, Kubernetes, and cloud services to correlate container start events.",,,20 October 2021,,datacomponent,1.1,,
Domain Name,DS0038,x-mitre-data-source--dd75f457-8dc0-4a24-9ae5-4b61c33af866,Information obtained (commonly through registration or activity logs) regarding one or more IP addresses registered with human readable names (ex: mitre.org),OSINT,PRE,20 October 2021,,datasource,1.0,https://attack.mitre.org/datasources/DS0038,
Domain Name: Active DNS,,x-mitre-data-component--2e521444-7295-4dec-96c1-7595b2df7811,"""Domain Name: Active DNS"" data component captures queried DNS registry data that highlights current domain-to-IP address resolutions. This data includes both direct queries to DNS servers and records that provide mappings between domain names and associated IP addresses. It serves as a critical resource for tracking active infrastructure and understanding the network footprint of an organization or adversary. Examples: 

- DNS Query Example: `nslookup example.com`, `dig example.com A`
- PTR Record Example: `dig -x 192.168.1.1`
- Tracking Malicious Domains: DNS logs reveal repeated queries to suspicious domains like malicious-site.com. The IPs resolved by these domains may be indicators of compromise (IOCs).
- DNS Record Types
    - A/AAAA Record: Maps domain names to IP addresses (IPv4/IPv6).
    - CNAME Record: Canonical name records, often used for redirects.
    - MX Record: Mail exchange records, used to route emails.
    - TXT Record: Can include security information like SPF or DKIM policies.
    - SOA Record: Start of authority record for domain management.
    - NS Record: Lists authoritative name servers for the domain.

This data component can be collected through the following measures:

- System Utilities: Use built-in tools like `nslookup`, `dig`, or host on Linux, macOS, and Windows to perform active DNS queries.
- DNS Logging
    - Windows DNS Server: Enable DNS Analytical Logging to capture DNS queries and responses.
    - Bind DNS: Enable query logging in the named.conf file.
- Cloud Provider DNS Logging
    - AWS Route 53: Enable query logging through CloudWatch or S3:
    - Google Cloud DNS: Enable logging for Cloud DNS queries through Google Cloud Logging.
- Network Traffic Monitoring: Use tools like Wireshark or Zeek to analyze DNS queries within network traffic.
- Security Information and Event Management (SIEM) Integration: Aggregate DNS logs in a SIEM like Splunk to create alerts and monitor patterns.
- Public OSINT Tools: Use OSINT platforms like VirusTotal, or PassiveTotal to collect information on domains and their associated IP addresses.",,,20 October 2021,,datacomponent,1.1,,
Domain Name: Domain Registration,,x-mitre-data-component--ff9b665a-598b-4bcb-8b2a-a87566aa1256,"""Domain Name: Domain Registration"" data component captures information about the assignment, ownership, and metadata of domain names. This information is often sourced from registries like WHOIS and includes details such as registrant names, contact information, registration dates, expiration dates, and registrar details. This data is invaluable for tracking domain ownership, detecting malicious domain registrations, and identifying trends in adversary behavior. Examples: 

- Registrant Information: WHOIS lookup of example.com 
- Registration and Expiration Dates: A domain registered a week before being used in phishing attacks.
- Domain Status: Status codes like clientTransferProhibited or serverHold indicate domain restrictions or potential hijacking activity.
- Name Server Information: Name servers point to a public DNS provider often associated with malicious campaigns.
- Privacy Protection: A domain uses WHOIS privacy protection to hide registrant details.

This data component can be collected through the following measures:

- WHOIS Services: Use tools or services to perform WHOIS lookups:
- WHOIS APIs: Automate domain registration lookups with APIs:
- Registrar Platforms: Directly query domain registrars (e.g., GoDaddy, Namecheap) for detailed registration data.
- Threat Intelligence Platforms: Integrate domain registration data from services like Recorded Future, RiskIQ, or PassiveTotal for enriched analysis.",,,20 October 2021,,datacomponent,1.1,,
Domain Name: Passive DNS,,x-mitre-data-component--cc150ad8-ecfa-4340-9aaa-d21165873bd4,"""Domain Name: Passive DNS"" captures logged historical and real-time domain name system (DNS) data. This includes records of domain-to-IP address resolutions over time, enabling analysts to track the evolution of domain infrastructure, uncover historical patterns of use, and detect malicious activities tied to domains and their associated IP addresses. Examples: 

- Historical Resolutions
- Shared IP Usage
- Temporal Patterns
- Malicious Domain Clustering
- Historical Lookback

This data component can be collected through the following measures:

- Passive DNS Platforms: Use platforms that specialize in passive DNS collection and analysis:
   - Tools: Farsight DNSDB, RiskIQ PassiveTotal, PassiveDNS.
- Threat Intelligence Feeds: Integrate passive DNS data from commercial or open-source threat intelligence providers.
- Custom DNS Collectors: Deploy custom tools to capture DNS traffic at the network level for analysis.
- Cloud DNS Services: Leverage cloud DNS services (e.g., AWS Route 53, Azure DNS) that maintain DNS query logs.",,,20 October 2021,,datacomponent,1.1,,
Drive,DS0016,x-mitre-data-source--61bbbf27-f7c3-46ba-a6bc-48ae76928065,"A non-volatile data storage device (hard drive, floppy disk, USB flash drive) with at least one formatted partition, typically mounted to the file system and/or assigned a drive letter(Citation: Sysmon EID 9)",Host,"Linux, Windows, macOS",20 October 2021,,datasource,1.0,https://attack.mitre.org/datasources/DS0016,Center for Threat-Informed Defense (CTID)
Drive: Drive Access,,x-mitre-data-component--73ff2dcc-24b1-4368-b9dc-706dd9e68354,"Refers to the act of accessing a data storage device, such as a hard drive, SSD, USB, or network-mounted drive. This data component logs the opening or mounting of drives, capturing activities such as reading, writing, or executing files within an assigned drive letter (e.g., `C:\`, `/mnt/drive`) or mount point. Examples: 

- Removable Drive Insertion: A USB drive is inserted, assigned the letter `F:\`, and files are accessed.
- Network Drive Mounting: A network share `\\server\share` is mapped to the drive `Z:\`.
- External Hard Drive Access: An external drive is connected, mounted at `/mnt/backup`, and accessed for copying files.
- System Volume Access: The system volume `C:\` is accessed for modifications to critical files.
- Cloud-Synced Drives: Cloud storage drives like OneDrive or Google Drive are accessed via local mounts.

This data component can be collected through the following measures:

Windows Event Logs
- Relevant Events:
    - Event ID 4663: Logs access to file or folder objects.
    - Event ID 4656: Tracks a handle to an object like a drive or file.
- Configuration:
    - Enable auditing for ""Object Access"" in Local Security Policy.
    - Use Group Policy for broader deployment: `Computer Configuration > Windows Settings > Security Settings > Advanced Audit Policy Configuration > Object Access`

Linux System Logs

- Command-Line Monitoring: Use the `dmesg` or `journalctl` command to monitor drive mount/unmount events.
- Auditd Configuration: Add an audit rule for drive access: `auditctl -w /mnt/drive -p rwxa -k drive_access`
- Review logs via `/var/log/audit/audit.log`.

macOS System Logs

- Command-Line Monitoring: Use `diskutil list` or `fs_usage` to monitor drive access and mount points.
- Unified Logs: Query unified logs using log show for drive-related activities: `log show --info | grep ""mount""`

Endpoint Detection and Response (EDR) Tools

- Use EDR solutions to monitor drive activities and collect detailed forensic data.

SIEM Tools

- Ingest logs from endpoints to detect drive access patterns. Configure rules to alert on unusual or unauthorized drive access.",,,20 October 2021,,datacomponent,1.1,,
Drive: Drive Creation,,x-mitre-data-component--3d6e6b3b-4aa8-40e1-8c47-91db0f313d9f,"The activity of assigning a new drive letter or creating a mount point for a data storage device, such as a USB, network share, or external hard drive, enabling access to its content on a host system. Examples: 

- USB Drive Insertion: A USB drive is plugged in and automatically assigned the letter `E:\` on a Windows machine.
- Network Drive Mapping: A network share `\\server\share` is mapped to the drive `Z:\`.
- Virtual Drive Creation: A virtual disk is mounted on `/mnt/virtualdrive` using an ISO image or a virtual hard disk (VHD).
- Cloud Storage Mounting: Google Drive is mounted as `G:\` on a Windows machine using a cloud sync tool.
- External Storage Integration: An external HDD or SSD is connected and assigned `/mnt/external` on a Linux system.

This data component can be collected through the following measures:

Windows Event Logs

- Relevant Events:
    - Event ID 98: Logs the creation of a volume (mount or new drive letter assignment).
    - Event ID 1006: Logs removable storage device insertions.
- Configuration: Enable ""Removable Storage Events"" in the Group Policy settings:
`Computer Configuration > Administrative Templates > System > Removable Storage Access`

Linux System Logs

- Command-Line Monitoring: Use `dmesg` or `journalctl` to monitor mount events.

- Auditd Configuration: Add audit rules to track mount points.
- Logs can be reviewed in /var/log/audit/audit.log.

macOS System Logs

- Unified Logs: Monitor system logs for mount activity:
- Command-Line Tools: Use `diskutil list` to verify newly created or mounted drives.

Endpoint Detection and Response (EDR) Tools

- EDR solutions can log removable drive usage and network-mounted drives. Configure EDR policies to alert on suspicious drive creation events.

SIEM Tools

- Centralize logs from multiple platforms into a SIEM (e.g., Splunk) to correlate and alert on suspicious drive creation activities.",,,20 October 2021,,datacomponent,1.1,,
Drive: Drive Modification,,x-mitre-data-component--4dcd8ba3-2075-4f8b-941e-39884ffaac08,"The alteration of a drive letter, mount point, or other attributes of a data storage device, which could involve reassignment, renaming, permissions changes, or other modifications. Examples: 

- Drive Letter Reassignment: A USB drive previously assigned `E:\` is reassigned to `D:\` on a Windows machine.
- Mount Point Change: On a Linux system, a mounted storage device at `/mnt/external` is moved to `/mnt/storage`.
- Drive Permission Changes: A shared drive's permissions are modified to allow write access for unauthorized users or processes.
- Renaming of a Drive: A network drive labeled ""HR_Share"" is renamed to ""Shared_Resources.""
- Modification of Cloud-Integrated Drives: A cloud storage mount such as Google Drive is modified to sync only specific folders.

This data component can be collected through the following measures:

Windows Event Logs

- Relevant Events:
    - Event ID 98: Indicates changes to a volume (e.g., drive letter reassignment).
    - Event ID 1006: Logs permission modifications or changes to removable storage.
- Configuration: Enable ""Storage Operational Logs"" in the Event Viewer:
`Applications and Services Logs > Microsoft > Windows > Storage-Tiering > Operational`

Linux System Logs

- Auditd Configuration: Add audit rules to track changes to mounted drives: `auditctl -w /mnt/ -p w -k drive_modification`
- Command-Line Monitoring: Use `dmesg` or `journalctl` to observe drive modifications.

macOS System Logs

- Unified Logs: Collect mount or drive modification events: `log show --info | grep ""Volume modified""`
- Command-Line Monitoring: Use `diskutil` to track changes:

Endpoint Detection and Response (EDR) Tools

- Configure policies in EDR solutions to monitor and log changes to drive configurations or attributes.

SIEM Tools

- Aggregate logs from multiple systems into a centralized platform like Splunk to correlate events and alert on suspicious drive modification activities.
",,,20 October 2021,,datacomponent,1.1,,
Driver,DS0027,x-mitre-data-source--9ec8c0d7-6137-456f-b829-c5f8b96ba054,"A computer program that operates or controls a particular type of device that is attached to a computer. Provides a software interface to hardware devices, enabling operating systems and other computer programs to access hardware functions without needing to know precise details about the hardware being used(Citation: IOKit Fundamentals)(Citation: Windows Getting Started Drivers)",Host,"Linux, Windows, macOS",20 October 2021,,datasource,1.0,https://attack.mitre.org/datasources/DS0027,Center for Threat-Informed Defense (CTID)
Driver: Driver Load,,x-mitre-data-component--3551476e-14f5-4e48-a518-e82135329e03,"The process of attaching a driver, which is a software component that allows the operating system and applications to interact with hardware devices, to either user-mode or kernel-mode of a system. This can include benign actions (e.g., hardware drivers) or malicious behavior (e.g., rootkits or unsigned drivers). Examples: 

- Legitimate Driver Loading: A new graphics driver from a vendor like NVIDIA or AMD is loaded into the system.
- Unsigned Driver Loading: A driver without a valid digital signature is loaded into the kernel.
- Rootkit Installation: A malicious rootkit driver is loaded to manipulate kernel-mode processes.
- Anti-Virus or EDR Driver Loading: An Endpoint Detection and Response (EDR) solution loads its driver to monitor system activities.
- Driver Misuse: A legitimate driver is loaded and exploited to execute malicious actions, such as using vulnerable drivers for bypassing defenses (e.g., Bring Your Own Vulnerable Driver (BYOVD) attacks).

This data component can be collected through the following measures:

Windows

- Sysmon Logs: 
    - Event ID 6: Captures driver loading activity, including file path, hashes, and signature information.
    - Configuration: Ensure Sysmon is configured with a ruleset that monitors driver loading events
- Windows Event Logs: Enable ""Audit Kernel Object"" to capture kernel-related driver loading events.

Linux

- Auditd: Configure audit rules to capture driver loading events: `auditctl -w /lib/modules/ -p rwxa -k driver_load`
- Kernel Logs (dmesg): Use dmesg to monitor driver-related activities: `dmesg | grep ""module""`
- Syslog or journald: Review logs for module insertion or removal activities.

macOS

- Unified Logs: Use the macOS unified logging system to monitor kext (kernel extension) loads:
`log show --predicate 'eventMessage contains ""kext load""'`
- Endpoint Security Framework: Monitor driver loading via third-party security tools that leverage Apple’s Endpoint Security Framework.

SIEM Tools

- Ingest driver load logs from Sysmon, Auditd, or macOS unified logs into a centralized SIEM (e.g., Splunk).
- Create rules to detect unsigned drivers, rootkit activity, or known vulnerable drivers.

EDR Solutions

- Use EDR tools to detect and alert on anomalous driver loading activity.",,,20 October 2021,,datacomponent,1.1,,
Driver: Driver Metadata,,x-mitre-data-component--f5a9a1dd-82f9-41a3-85b8-13e5b9cd6c79,"to contextual data about a driver, including its attributes, functionality, and activity. This can involve details such as the driver's origin, integrity, cryptographic signature, issues reported during its use, and runtime behavior. Examples include metadata captured during driver integrity checks, hash validation, or error reporting. Examples: 

- Driver Signature Validation: A driver is validated to ensure it is signed by a trusted Certificate Authority (CA).
- Driver Hash Verification: The hash of a driver is compared to a known good hash stored in a database.
- Driver Compatibility Issues: A driver error is logged due to compatibility issues with a particular version of the operating system.
- Vulnerable Driver Identification: Metadata indicates the driver version is outdated or contains a known vulnerability.
- Monitoring Driver Integrity: Drivers are monitored for any unauthorized modifications to their binary or associated files.

This data component can be collected through the following measures:

Windows

- Windows Event Logs:
    - Event ID 3000-3006: Logs metadata about driver signature validation.
    - Event ID 2000-2011 (Windows Defender Application Control): Tracks driver integrity and policy enforcement.
- Sysmon Logs: Configure Sysmon to capture driver loading metadata (Event ID 6).
- Driver Verifier: Use Driver Verifier to collect diagnostic and performance data about drivers, including stability and compatibility metrics.
- PowerShell: Use commands to retrieve metadata about installed drivers:
`Get-WindowsDriver -Online | Select-Object Driver, ProviderName, Version`

Linux

- Auditd: Configure audit rules to monitor driver interactions and collect metadata: `auditctl -w /lib/modules/ -p rwxa -k driver_metadata`
- dmesg: Use `dmesg` to extract kernel logs with driver metadata: `dmesg | grep ""module""`
- lsmod and modinfo: Commands to list loaded modules and retrieve metadata about drivers: `lsmod` | `modinfo <module_name>`

macOS

- Unified Logs: Collect metadata from system logs about kernel extensions (kexts): `log show --predicate 'eventMessage contains ""kext load""' --info`
- kextstat: Command to retrieve information about loaded kernel extensions: `kextstat`

SIEM Tools

- Ingest Driver Metadata: Collect driver metadata logs from Sysmon, Auditd, or macOS logs into SIEMs like Splunk or Elastic.

Vulnerability Management Tools

- Use these tools to collect metadata about vulnerable drivers across enterprise systems.",,,20 October 2021,,datacomponent,1.1,,
File,DS0022,x-mitre-data-source--509ed41e-ca42-461e-9058-24602256daf9,"A computer resource object, managed by the I/O system, for storing data (such as images, text, videos, computer programs, or any wide variety of other media).(Citation: Microsoft File Mgmt)",Host,"ESXi, Linux, Network Devices, Windows, macOS",20 October 2021,,datasource,1.1,https://attack.mitre.org/datasources/DS0022,Center for Threat-Informed Defense (CTID)
File: File Access,,x-mitre-data-component--235b7491-2d2b-4617-9a52-3c0783680f71,"To events where a file is opened or accessed, making its contents available to the requester. This includes reading, executing, or interacting with files by authorized or unauthorized entities. Examples include logging file access events (e.g., Windows Event ID 4663), monitoring file reads, and detecting unusual file access patterns. Examples: 

- File Read Operations: A user opens a sensitive document (e.g., financial_report.xlsx) on a shared drive.
- File Execution: A script or executable file is accessed and executed (e.g., malware.exe is run from a temporary directory).
- Unauthorized File Access: An unauthorized user attempts to access a protected configuration file (e.g., `/etc/passwd` on Linux or `System32` files on Windows).
- File Access Patterns: Bulk access to multiple files in a short time (e.g., mass access to documents on a file server).
- File Access via Network: Files on a network share are accessed remotely (e.g., logs of SMB file access).

This data component can be collected through the following measures:

Windows

- Windows Event Logs: Event ID 4663: Captures file system auditing details, including who accessed the file, access type, and file name.
- Sysmon:
    - Event ID 11: Logs file creation time changes.
    - Event ID 1 (process creation): Can provide insight into files executed.
- PowerShell: Commands to monitor file access in real-time: `Get-WinEvent -FilterHashtable @{LogName='Security'; ID=4663}`

Linux

- Auditd: Monitor file access events using audit rules: `auditctl -w /path/to/file -p rwxa -k file_access`
- View logs: `ausearch -k file_access`
- Inotify: Use inotify to track file access on Linux: `inotifywait -m /path/to/watch -e access`

macOS

- Unified Logs: Monitor file access using the macOS Unified Logging System.
- FSEvents: File System Events can track file accesses: `fs_usage | grep open`

Network Devices

- SMB/CIFS Logs: Monitor file access over network shares using logs from SMB or CIFS protocol.
- NAS Logs: Collect logs from network-attached storage systems for file access events.

SIEM Integration

- Collect file access logs from all platforms (Windows, Linux, macOS) and centralize in a SIEM for correlation and analysis.",,,20 October 2021,,datacomponent,1.1,,
File: File Creation,,x-mitre-data-component--2b3bfe19-d59a-460d-93bb-2f546adc2d2c,"A new file is created on a system or network storage. This action often signifies an operation such as saving a document, writing data, or deploying a file. Logging these events helps identify legitimate or potentially malicious file creation activities. Examples include logging file creation events (e.g., Sysmon Event ID 11 or Linux auditd logs). 

This data component can be collected through the following measures:

Windows

- Sysmon: Event ID 11: Logs file creation events, capturing details like the file path, hash, and creation time.
- Windows Event Log: Enable ""Object Access"" auditing in Group Policy to track file creation under Event ID 4663.
- PowerShell: Real-time monitoring of file creation:`Get-WinEvent -FilterHashtable @{LogName='Security'; ID=4663}`

Linux

- Auditd: Use audit rules to monitor file creation: `auditctl -w /path/to/directory -p w -k file_creation`
- View logs: `ausearch -k file_creation`
- Inotify: Monitor file creation with inotifywait: `inotifywait -m /path/to/watch -e create`

macOS

- Unified Logs: Use the macOS Unified Logging System to capture file creation events.
- FSEvents: Use File System Events to monitor file creation: `fs_usage | grep create`

Network Devices

- NAS Logs: Monitor file creation events on network-attached storage devices.
- SMB Logs: Collect logs of file creation activities over SMB/CIFS protocols.

SIEM Integration

- Forward logs from all platforms (Windows, Linux, macOS) to a SIEM for central analysis and alerting.",,,20 October 2021,,datacomponent,1.1,,
File: File Deletion,,x-mitre-data-component--e905dad2-00d6-477c-97e8-800427abd0e8,"Refers to events where files are removed from a system or storage device. These events can indicate legitimate housekeeping activities or malicious actions such as attackers attempting to cover their tracks. Monitoring file deletions helps organizations identify unauthorized or suspicious activities.

This data component can be collected through the following measures:

Windows

- Sysmon: Event ID 23: Logs file deletion events, including details such as file paths and responsible processes.
- Windows Event Log: Enable ""Object Access"" auditing to monitor file deletions.
- PowerShell: `Get-WinEvent -FilterHashtable @{LogName='Security'; ID=4663} | Where-Object {$_.Message -like '*DELETE*'}`

Linux

- Auditd: Use audit rules to capture file deletion events: `auditctl -a always,exit -F arch=b64 -S unlink -S rename -S rmdir -k file_deletion`
- Query logs: `ausearch -k file_deletion`
- Inotify: Use inotifywait to monitor file deletions: `inotifywait -m /path/to/watch -e delete`

macOS

- Endpoint Security Framework (ESF): Monitor events like ES_EVENT_TYPE_AUTH_UNLINK to capture file deletion activities.
- FSEvents: Track file deletion activities in real-time: `fs_usage | grep unlink`

SIEM Integration

- Forward file deletion logs to a SIEM for centralized monitoring and correlation with other events.
",,,20 October 2021,,datacomponent,1.1,,
File: File Metadata,,x-mitre-data-component--639e87f3-acb6-448a-9645-258f20da4bc5,"contextual information about a file, including attributes such as the file's name, size, type, content (e.g., signatures, headers, media), user/owner, permissions, timestamps, and other related properties. File metadata provides insights into a file's characteristics and can be used to detect malicious activity, unauthorized modifications, or other anomalies. Examples: 

- File Ownership and Permissions: Checking the owner and permissions of a critical configuration file like /etc/passwd on Linux or C:\Windows\System32\config\SAM on Windows.
- Timestamps: Analyzing the creation, modification, and access timestamps of a file.
- File Content and Signatures: Extracting the headers of an executable file to verify its signature or detect packing/obfuscation.
- File Attributes: Analyzing attributes like hidden, system, or read-only flags in Windows.
- File Hashes: Generating MD5, SHA-1, or SHA-256 hashes of files to compare against threat intelligence feeds.
- File Location: Monitoring files located in unusual directories or paths, such as temporary or user folders.

This data component can be collected through the following measures:

Windows

- Sysinternals Tools: Use `AccessEnum` or `PSFile` to retrieve metadata about file access and permissions.
- Windows Event Logs: Enable object access auditing and monitor events like 4663 (Object Access) and 5140 (A network share object was accessed).
- PowerShell: Use Get-Item or Get-ChildItem cmdlets: `Get-ChildItem -Path ""C:\Path\To\Directory"" -Recurse | Select-Object Name, Length, LastWriteTime, Attributes`

Linux

- File System Commands: Use `ls -l` or stat to retrieve file metadata: `stat /path/to/file`
- Auditd: Configure audit rules to log metadata access: `auditctl -w /path/to/file -p wa -k file_metadata`
- Filesystem Integrity Tools: Tools like tripwire or AIDE (Advanced Intrusion Detection Environment) can monitor file metadata changes.

macOS

- FSEvents: Use FSEvents to track file metadata changes.
- Endpoint Security Framework (ESF): Capture metadata-related events via ESF APIs.
- Command-Line Tools: Use ls -l or xattr for file attributes: `ls -l@ /path/to/file`

SIEM Integration

- Forward file metadata logs from endpoint or network devices to a SIEM for centralized analysis.",,,20 October 2021,,datacomponent,1.1,,
File: File Modification,,x-mitre-data-component--84572de3-9583-4c73-aabd-06ea88123dd8,"Changes made to a file, including updates to its contents, metadata, access permissions, or attributes. These modifications may indicate legitimate activity (e.g., software updates) or unauthorized changes (e.g., tampering, ransomware, or adversarial modifications). Examples: 

- Content Modifications: Changes to the content of a configuration file, such as modifying `/etc/ssh/sshd_config` on Linux or `C:\Windows\System32\drivers\etc\hosts` on Windows.
- Permission Changes: Altering file permissions to allow broader access, such as changing a file from `644` to `777` on Linux or modifying NTFS permissions on Windows.
- Attribute Modifications: Changing a file's attributes to hidden, read-only, or system on Windows.
- Timestamp Manipulation: Adjusting a file's creation or modification timestamp using tools like `touch` in Linux or timestomping tools on Windows.
- Software or System File Changes: Modifying system files such as `boot.ini`, kernel modules, or application binaries.

This data component can be collected through the following measures:

Windows

- Event Logs: Enable file system auditing to monitor file modifications using Security Event ID 4670 (File System Audit) or Sysmon Event ID 2 (File creation time changed).
- PowerShell: Use Get-ItemProperty or Get-Acl cmdlets to monitor file properties: `Get-Item -Path ""C:\path\to\file"" | Select-Object Name, Attributes, LastWriteTime`

Linux

- File System Monitoring: Use tools like auditd with rules to monitor file modifications: `auditctl -w /path/to/file -p wa -k file_modification`
- Inotify: Use inotifywait to watch for real-time changes to files or directories: `inotifywait -m /path/to/file`

macOS

- Endpoint Security Framework (ESF): Monitor file modification events using ESF APIs.
- Audit Framework: Configure audit rules to track file changes.
- Command-Line Tools: Use fs_usage to monitor file activities: `fs_usage -w /path/to/file`

SIEM Tools

- Collect logs from endpoint agents (e.g., Sysmon, Auditd) and file servers to centralize file modification event data.",,,20 October 2021,,datacomponent,1.1,,
